observation_id,crawl_id,dataset_version,domain_id,source_url,canonical_url,observed_at,page_role,browser_rendered,http_status_code,response_latency_ms,is_reachable,tls_valid,tls_version,certificate_expiry_days,axe_violations_count,critical_violations,serious_violations,moderate_violations,minor_violations,accessibility_score,has_missing_alts,lcp_ms,cls,fcp_ms,ttfb_ms,page_weight_bytes,lighthouse_performance_score,detected_primary_language,is_multilingual,dom_node_count,links_count,forms_count,has_https,has_hsts,has_csp,security_headers_score,website_category,architecture_type,is_validated
obs-a2703c0050cb,crawl-master-20260809-190429,0.1.0,dom-c6332e94c7,https://presidentofindia.nic.in,https://presidentofindia.nic.in,2026-08-09T19:04:29.744116+00:00,homepage,True,403,585.7078680000996,False,True,TLSv1.3,84.0,1,0,0,1,0,97.0,False,1057.1,0.01,702.8,585.7078680000996,373,78.8,en,False,7,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-17b0e71e1a4d,crawl-master-20260809-190429,0.1.0,dom-7a3b20128e,https://pmindia.gov.in,https://www.pmindia.gov.in/en/,2026-08-09T19:04:31.891796+00:00,homepage,True,403,2083.250964000399,False,True,TLSv1.3,23.0,1,0,0,1,0,97.0,False,3752.7,0.01,2499.9,2083.250964000399,383,24.9,en,False,7,0,0,True,True,False,25.0,district_administration,angular_spa,True
obs-bdea8f261712,crawl-master-20260809-190429,0.1.0,dom-f6a67999ae,https://india.gov.in,https://www.india.gov.in/,2026-08-09T19:04:34.319594+00:00,homepage,True,403,2359.849522999866,False,True,TLSv1.3,78.0,1,0,0,1,0,97.0,False,4250.5,0.01,2831.8,2359.849522999866,372,14.9,en,False,7,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-a7ee55026e13,crawl-master-20260809-190429,0.1.0,dom-a9b4d1e176,https://mha.gov.in,https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/hi,2026-08-09T19:04:42.474226+00:00,homepage,True,200,7456.209054999817,True,True,TLSv1.3,63.0,1,0,0,0,1,99.0,False,13871.6,0.05,8947.5,7456.209054999817,120962,10.0,hi,True,1126,236,0,True,True,True,100.0,district_administration,angular_spa,True
obs-f847d0318c07,crawl-master-20260809-190429,0.1.0,dom-986d74f344,https://finmin.nic.in,https://finmin.nic.in,2026-08-09T19:04:42.937787+00:00,homepage,True,502,105.51528799987864,False,False,,,0,0,0,0,0,,False,200.0,0.01,126.6,105.51528799987864,0,96.0,en,False,0,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-d3cfbb059065,crawl-master-20260809-190429,0.1.0,dom-9ba58d6edf,https://mea.gov.in,https://www.mea.gov.in/,2026-08-09T19:04:56.502805+00:00,homepage,True,403,13202.933810000104,False,True,TLSv1.3,143.0,1,0,0,1,0,97.0,False,23770.5,0.01,15843.5,13202.933810000104,919,10.0,en,False,13,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-3ec508a8dbc8,crawl-master-20260809-190429,0.1.0,dom-5bd30c35f5,https://mod.gov.in,https://mod.gov.in,2026-08-09T19:04:59.395365+00:00,homepage,True,502,2239.543209000658,False,False,,,0,0,0,0,0,,False,4031.2,0.01,2687.5,2239.543209000658,0,19.4,en,False,0,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-9a16aa41c3a6,crawl-master-20260809-190429,0.1.0,dom-98c4f10caf,https://meity.gov.in,https://www.meity.gov.in/,2026-08-09T19:05:18.464119+00:00,homepage,True,403,18649.298325000018,False,True,TLSv1.3,78.0,1,0,0,1,0,97.0,False,33571.5,0.01,22379.2,18649.298325000018,374,10.0,en,False,7,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-e8cd1dbfd403,crawl-master-20260809-190429,0.1.0,dom-c2818268a6,https://mohfw.gov.in,https://www.mohfw.gov.in/,2026-08-09T19:05:29.511364+00:00,homepage,True,403,10985.59159999968,False,True,TLSv1.3,76.0,1,0,0,1,0,97.0,False,19776.9,0.01,13182.7,10985.59159999968,374,10.0,en,False,7,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-7a9978afc0ab,crawl-master-20260809-190429,0.1.0,dom-2a206882e4,https://education.gov.in,https://www.education.gov.in/,2026-08-09T19:05:43.919926+00:00,homepage,True,403,14032.001779999518,False,True,TLSv1.3,44.0,1,0,0,1,0,97.0,False,25260.4,0.01,16838.4,14032.001779999518,378,10.0,en,False,7,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-fb69d3444ad5,crawl-master-20260809-190429,0.1.0,dom-24761963d2,https://agricoop.nic.in,https://agricoop.nic.in,2026-08-09T19:05:44.952527+00:00,homepage,True,502,686.510644000009,False,False,,,0,0,0,0,0,,False,1235.7,0.01,823.8,686.510644000009,0,75.3,en,False,0,0,0,True,False,False,0.0,district_administration,angular_spa,True
obs-fb5d61de8cbf,crawl-master-20260809-190429,0.1.0,dom-279f32e8de,https://morth.nic.in,http://morth.gov.in/,2026-08-09T19:05:50.339392+00:00,homepage,True,200,5311.998696000046,True,False,,,0,0,0,0,0,100.0,False,9575.2,0.01,6374.4,5311.998696000046,40262,10.0,en,True,34,0,0,False,True,True,75.0,district_administration,angular_spa,True
obs-fb8f447b4f17,crawl-master-20260809-190429,0.1.0,dom-894d6a3f22,https://indianrailways.gov.in,https://indianrailways.gov.in,2026-08-09T19:05:52.478612+00:00,homepage,True,502,1803.3866649993797,False,False,,,0,0,0,0,0,,False,3246.1,0.01,2164.1,1803.3866649993797,0,35.1,en,False,0,0,0,True,False,False,0.0,district_administration,angular_spa,True
